# Based on IANA (Ver: tzdata2018g)
# I18NOK:FileNotLocalizable
#
# sas_historictimezone.txt
# zone
# tzid;format;offset;save;mode;untilYear;untilMonth;untilDay;untilDOW;untilTime;timeType

Africa/Sao_Tome;WAT;3600;0;1;3999;1;1;-1;0;0
Africa/Sao_Tome;GMT;0;0;1;2018;1;1;-1;3600;0
Africa/Sao_Tome;LMT;-2205;0;1;1912;1;1;-1;0;1
Africa/Sao_Tome;LMT;1616;0;1;1884;1;1;-1;0;0
Africa/Tripoli;EET;7200;0;1;3999;1;1;-1;0;0
Africa/Tripoli;CE%sT;3600;Libya;1;2013;10;25;-1;7200;0
Africa/Tripoli;EET;7200;0;1;2012;11;10;-1;7200;0
Africa/Tripoli;CE%sT;3600;Libya;1;1997;10;4;-1;0;0
Africa/Tripoli;EET;7200;0;1;1996;9;30;-1;0;0
Africa/Tripoli;CE%sT;3600;Libya;1;1990;5;4;-1;0;0
Africa/Tripoli;EET;7200;0;1;1982;1;1;-1;0;0
Africa/Tripoli;CE%sT;3600;Libya;1;1959;1;1;-1;0;0
Africa/Tripoli;LMT;3164;0;1;1920;1;1;-1;0;0
Africa/Tunis;CE%sT;3600;Tunisia;1;3999;1;1;-1;0;0
Africa/Tunis;PMT;561;0;1;1911;3;11;-1;0;0
Africa/Tunis;LMT;2444;0;1;1881;5;12;-1;0;0
Africa/Windhoek;%s;7200;Namibia;1;3999;1;1;-1;0;0
Africa/Windhoek;SAST;7200;0;1;1990;3;21;-1;0;0
Africa/Windhoek;SAST;7200;3600;1;1943;3;21;-1;7200;0
Africa/Windhoek;SAST;7200;0;1;1942;9;20;-1;7200;0
Africa/Windhoek;+0130;5400;0;1;1903;3;1;-1;0;0
Africa/Windhoek;LMT;4104;0;1;1892;2;8;-1;0;0
America/Adak;H%sT;-36000;US;1;3999;1;1;-1;0;0
America/Adak;AH%sT;-36000;US;1;1983;11;30;-1;0;0
America/Adak;B%sT;-39600;US;1;1983;10;30;-1;7200;0
America/Adak;BST;-39600;0;1;1969;1;1;-1;0;0
America/Adak;NST;-39600;0;1;1967;4;1;-1;0;0
America/Adak;N%sT;-39600;US;1;1946;1;1;-1;0;0
America/Adak;NST;-39600;0;1;1942;1;1;-1;0;0
America/Adak;LMT;-42398;0;1;1900;8;20;-1;43200;0
America/Adak;LMT;44002;0;1;1867;10;19;-1;45875;0
America/Anchorage;AK%sT;-32400;US;1;3999;1;1;-1;0;0
America/Anchorage;Y%sT;-32400;US;1;1983;11;30;-1;0;0
America/Anchorage;AH%sT;-36000;US;1;1983;10;30;-1;7200;0
America/Anchorage;AHST;-36000;0;1;1969;1;1;-1;0;0
America/Anchorage;A%sT;-36000;US;1;1967;4;1;-1;0;0
America/Anchorage;AST;-36000;0;1;1942;1;1;-1;0;0
America/Anchorage;LMT;-35976;0;1;1900;8;20;-1;43200;0
America/Anchorage;LMT;50424;0;1;1867;10;19;-1;52297;0
America/Anguilla;AST;-14400;0;1;3999;1;1;-1;0;0
America/Anguilla;LMT;-14764;0;1;1912;3;2;-1;0;0
America/Antigua;AST;-14400;0;1;3999;1;1;-1;0;0
America/Antigua;LMT;-14764;0;1;1912;3;2;-1;0;0
America/Araguaina;-03;-10800;0;1;3999;1;1;-1;0;0
America/Araguaina;-03/-02;-10800;Brazil;1;2013;9;1;-1;0;0
America/Araguaina;-03;-10800;0;1;2012;10;21;-1;0;0
America/Araguaina;-03/-02;-10800;Brazil;1;2003;9;24;-1;0;0
America/Araguaina;-03;-10800;0;1;1995;9;14;-1;0;0
America/Araguaina;-03/-02;-10800;Brazil;1;1990;9;17;-1;0;0
